f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
3.311311210000000216e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-3.012218816100000254e+02
3.388441559999999697e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-3.011831769500000178e+02
3.467368499999999898e+01,0.000000000000000000e+00,-1.000000224848918151e-07,-3.001313285499999779e+02
3.548133889999999724e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-3.001785857699999838e+02
3.630780550000000062e+01,0.000000000000000000e+00,-1.000000224848918151e-07,-3.007053060500000470e+02
3.715352289999999869e+01,0.000000000000000000e+00,-2.999999821895471541e-07,-2.975785289400000124e+02
3.801893960000000305e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-2.992382551900000180e+02
3.890451449999999767e+01,0.000000000000000000e+00,4.999999987376213539e-07,-3.008148217600000294e+02
3.981071709999999797e+01,0.000000000000000000e+00,-9.999999406318238471e-08,-2.996528969100000381e+02
4.073802779999999757e+01,0.000000000000000000e+00,3.999999762527295388e-07,-2.996003402000000051e+02
4.168693830000000133e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-2.944407966300000226e+02
4.265795190000000048e+01,0.000000000000000000e+00,3.000000106112565845e-07,-2.981152496500000098e+02
4.365158319999999748e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-2.948887532699999952e+02
4.466835919999999760e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.986212761099999966e+02
4.570881899999999831e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.960108764600000200e+02
4.677351409999999987e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-2.982406774199999973e+02
4.786300920000000048e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.976433869300000197e+02
4.897788189999999986e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.994411128699999836e+02
5.011872340000000037e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.940541871499999615e+02
5.128613839999999868e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.948786157999999773e+02
5.248074600000000345e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.955828450500000031e+02
5.370317959999999857e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-2.973887654099999622e+02
5.495408739999999881e+01,0.000000000000000000e+00,1.999999881263647694e-07,-2.973416207889999896e+02
5.623413250000000119e+01,0.000000000000000000e+00,-9.999999406318238471e-08,-2.985118795490000139e+02
5.754399370000000147e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.994592316039999673e+02
5.888436550000000125e+01,0.000000000000000000e+00,-9.999999406318238471e-08,-2.994491255009999691e+02
6.025595859999999959e+01,0.000000000000000000e+00,-3.999999762527295388e-07,-2.986935504989999686e+02
6.165950019999999654e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.991198486450000473e+02
